"","LENGTH","AGE","INDWT"
"1270","37","3",".478"
"1271","46","3","1.138"
"1272","50","3","1.206"
"1273","54","5","1.776"
"1274","57","4","2.024"
"1275","62","5","2.722"
"1276","64","5","2.914"
"1277","50","3","1.305"
"1278","29","1",".228"
"1279","37","2",".527"
"1280","36","2",".466"
"1281","40","2",".658"
"1282","35","2",".462"
"1283","56","4","1.749"
"1284","46","3","1.016"
"1285","47","3","1.157"
"1286","35","2",".447"
"1287","37","3",".548"
"1288","70","7","4.014"
"1289","56","5","1.437"
"1290","27","1",".2"
"1291","50","3","1.222"
"1292","47","3","1.105"
"1293","44","3",".972"
"1294","37","3",".598"
"1295","61","5","2.734"
"1296","63","6","2.864"
"1297","27","1",".166"
"1298","41","3",".686"
"1299","39","3",".583"
"1300","36","3",".417"
"1301","36","3",".497"
"1302","42","3",".766"
"1303","30","2",".228"
"1304","26","1",".169"
"1305","44","3",".894"
"1306","32","2",".333"
"1307","35","3",".449"
"1308","43",NA,".83"
"1309","33","2",".382"
"1310","26","1",".17"
"1311","41","4",".714"
"1312","32","2",".277"
"1313","30","2",".266"
"1314","28","2",".212"
"1315","37","3",".466"
"1316","25","1",".146"
"1317","45","3",".912"
"1318","61","5","2.344"
"1319","60","6","2.39"
"1320","48","3","1.195"
"1321","49","4","1.214"
"1322","60","5","2.46"
"1323","61","6","2.602"
"1324","67","6","2.85"
"1325","60","5","2.16"
"1326","69","7","3.09"
"1327","61","6","2.395"
"1328","60","6","2.16"
"1329","47","4",".9"
"1330","62","6","2.085"
"1331","27","4",".175"
"1332","75","7","4.65"
"1333","30","3",".29"
"1334","37","4",".52"
"1335","29","3",".245"
"1336","63","6","2.955"
"1337","49","5","1.155"
"1338","48",NA,"1.235"
"1339","33","3",".345"
"1340","40","3",".58"
"1341","61","7","1.805"
"1342","64","6","2.845"
"1343","70",NA,"3.7"
"1344","57","5","1.955"
"1345","46","4",".965"
"1346","48","4","1.22"
"1347","19",NA,".063"
"1348","61","6","1.885"
"1349","19","2",".059"
"1350","43","4",".715"
"1351","35","4",".43"
"1352","36","3",".445"
"1353","78",NA,"4.99"
"1354","58","6","2.025"
"1355","27","3",".19"
"1356","46","4",".97"
"1357","36","4",".43"
"1358","60","6","2.205"
"1359","71","8","4.25"
"1360","63","6","2.855"
"1361","24",NA,".14"
"1362","63","6","2.51"
"1363","29","4",".235"
"1364","61","6","1.98"
"1365","71","10","3.27"
"1366","68","6","3.24"
"1367","30","3",".345"
"1368","50","6",".915"
"1369","48","6",".98"
"1370","64","5","2.56"
"1371","57","6","1.745"
"1372","55","6","1.69"
"1373","49","5","1.035"
"1374","71","6","3.66"
"1375","27","2",".196"
"1376","88","9","6.6"
"1377","70","6","3.342"
"1378","76","6","3.37"
"1379","62","6","2.228"
"1380","71","6","3.816"
"1381","46","4","1.042"
"1382","90","9","6.5"
"1383","89","9","6.3"
"1384","66","6","3.014"
"1385","75","7","4.432"
"1386","62","6","2.274"
"1387","66","6","2.858"
"1388","49","4","1.253"
"1389","55","5","1.631"
"1390","77","8","4.468"
"1391","30","2",".272"
"1392","29","2",".248"
"1393","26","2",".179"
"1394","31","2",".277"
"1395","25","2",".162"
"1396","27","2",".192"
"1397","29","2",".263"
"1398","73","6","3.88"
"1399","72","6","3.582"
"1400","75","6","4.17"
"1401","64","6","2.854"
"1402","70","6","3.494"
"1403","89","8","7.5"
"1404","75","7","3.846"
"1405","59","6","2.038"
"1406","60","5","2.256"
"1407","60","6","2.31"
"1408","78","8","5.082"
"1409","68","7","2.824"
"1410","69","6","3.504"
"1411","57","6","1.792"
"1412","67","6","2.972"
"1413","63","6","2.56"
"1414","76","7","4.008"
"1415","56","5","1.834"
"1416","62","6","2.244"
"1417","65","6","2.644"
"1418","54","5","1.53"
"1419","64","5","2.734"
"1420","63","6","2.542"
"1421","57","6","1.666"
"1422","70","7","3.152"
"1423","32","2",".279"
"1424","71","6","3.288"
"1425","33","2",".349"
"1426","31","2",".299"
"1427","36",NA,".478"
"1428","29","2",".23"
"1429","27","2",".184"
"1430","26","2",".168"
"1431","34","2",".392"
"1432","31","2",".302"
"1433","34","2",".408"
"1434","25","2",".156"
"1435","34","2",".386"
"1436","51","4","1.419"
"1437","72","6","3.734"
"1438","78","7","4.28"
"1439","48","4",".941"
"1440","60","6","2.094"
"1441","69",NA,"3.586"
"1442","68","6","3.326"
"1443","65","6","2.81"
"1444","79","7","5.338"
"1445","45","3",".932"
"1446","77","7","4.802"
"1447","71","6","3.968"
"1448","15","1",".024"
"1449","25","2",".13"
"1450","27","2",".186"
"1451","70","6","3.732"
"1452","24","2",".112"
"1453","24","2",".112"
"1454","29","2",".229"
"1455","56","5","2.204"
"1456","44","5",".817"
"1457","16","1",".024"
"1458","43","3",".942"
"1459","36","3",".426"
"1460","23","2",".107"
"1461","21","2",".074"
"1462","24","2",".123"
"1463","20",NA,".072"
"1464","22","1",".108"
"1465","70","6","3.29"
"1466","68","6","2.87"
"1467","71","6","3.414"
"1468","78","8","4.976"
"1469","78","7","4.848"
"1470","63","6","2.472"
"1471","70","7","3.47"
"1472","67","6","3.048"
"1473","63","5","2.416"
"1474","78","7","4.68"
"1475","83","7","5.64"
"1476","78","7","4.54"
"1477","57","5","1.753"
"1478","59","6","1.657"
"1479","66","6","2.872"
"1480","58","6","1.998"
"1481","66","6","2.784"
"1482","77","7","4.64"
"1483","70","7","3.46"
"1484","66","6","2.56"
"1485","60","6","2.064"
"1486","89","8","6.74"
"1487","66","6","3.212"
"1488","81","8","5.2"
"1489","71","7","3.256"
"1490","67","6","2.886"
"1491","79","8","4.52"
"1492","86","8","6.48"
"1493","78","7","5.08"
"1494","91","9","7.32"
"1495","72","6","3.66"
"1496","60","5","2.188"
"1497","74","7","3.804"
"1498","81","8","4.92"
"1499","88","10","6.36"
"1500","86","8","5.8"
"1501","71","7","3.384"
"1502","74","7","4.2"
"1503","78","8","5.08"
"1504","83","8","5.88"
"1505","58","6","1.826"
"1506","97","10","7.82"
"1507","91","9","7.6"
"1508","61","6","2.214"
"1509","66","7","2.826"
"1510","69","6","3.18"
"1511","74","6","3.998"
"1512","76","7","5.16"
"1513","69","6","3.192"
"1514","83","8","6.3"
"1515","64","7","2.5"
"1516","60","6","2.105"
"1517","60","6","1.865"
"1518","62","6","2.102"
"1519","73","7","4.15"
"1520","66","6","2.792"
"1521","22","1",".105"
"1522","20","1",".07"
"1523","21","2",".091"
"1524","23","2",".111"
"1525","27","2",".2"
"1526","24","2",".129"
"1527","30","2",".26"
"1528","75","6","4.046"
"1529","68","6","2.868"
"1530","68","6","3.268"
"1531","18","1",".061"
"1532","28","2",".214"
"1533","27","2",".185"
