"","LENGTH","AGE","INDWT"
"393","59","4","1.53"
"394","49","2",".975"
"395","62","3","1.76"
"396","50","3","1.104"
"397","51","3","1.032"
"398","57","3","1.5"
"399","46","2",".707"
"400","72","4","3.49"
"401","47","2",".928"
"402","60","3","1.974"
"403","52",NA,"1.088"
"404","48","3",".984"
"405","63","3","2.33"
"406","60",NA,"1.967"
"407","60","3","1.84"
"408","63","3","1.92"
"409","56","3","1.57"
"410","51","3","1.038"
"411","64","4","1.75"
"412","46","3",".802"
"413","70",NA,"2.862"
"414","60","4","2.035"
"415","97","7","8.63"
"416","63","4","2.017"
"417","50","4","1.092"
"418","58","4","1.676"
"419","52","4","1.146"
"420","60","4","1.696"
"421","60","4","1.774"
"422","54","4","1.173"
"423","66","3","2.794"
"424","50","3",".897"
"425","31","1",".195"
"426","46","2",".887"
"427","43","2",".642"
"428","58","3","1.48"
"429","54","3","1.14"
"430","49","2",".81"
"431","53","3","1.238"
"432","44","2",".818"
"433","50","2","1.13"
"434","46","2",".742"
"435","44","2",".688"
"436","53","3","1.194"
"437","51","3","1.146"
"438","53","3","1.21"
"439","49","2","1.006"
"440","63","3","2.076"
"441","51","3","1.258"
"442","43","3",".615"
"443","56","3","1.442"
"444","53","3",".906"
"445","53","3","1.17"
"446","50","2",".919"
"447","57","3","1.464"
"448","37","2",".572"
"449","43","2",".601"
"450","46","2",".96"
"451","45",NA,".8"
"452","43","2",".767"
"453","61",NA,"2.45"
"454","35","2",".331"
"455","41","2",".654"
"456","56","3","1.57"
"457","42","2",".55"
"458","46","3",".684"
"459","63","4","2.116"
"460","42","2",".699"
"461","51","2",".996"
"462","53","3","1.112"
"463","51","2","1.151"
"464","49","3",".769"
"465","70","4","3.15"
"466","44","3",".652"
"467","51","3","1.475"
"468","56","3","1.379"
"469","40","2",".618"
"470","61","3","2.156"
"471","49","2",".9"
"472","68","3","3.184"
"473","63","3","1.935"
"474","95","6","6.2"
"475","46","3",".886"
"476","50","3",".991"
"477","43","2",".638"
"478","46","2",".813"
"479","45","2",".725"
"480","55",NA,"1.37"
"481","55","3","1.606"
"482","46",NA,".716"
"483","66","3","2.315"
"484","55","3","1.31"
"485","61","3","1.912"
"486","47","2","1.243"
"487","51","3","1.103"
"488","54",NA,"1.442"
"489","43","2",".858"
"490","41","2",".719"
"491","62","3","2.202"
"492","59","4","2.619"
"493","59","3","1.88"
"494","50","3","1.189"
"495","65","3","2.467"
"496","49","2",".85"
"497","58","3","1.562"
"498","53",NA,"1.231"
"499","57","3","1.486"
"500","56","3","1.631"
"501","66","3","2.444"
"502","47","2",".957"
"503","48",NA,"1.16"
"504","60","3","2.37"
"505","40",NA,".421"
"506","51","3","1.084"
"507","59","4","1.768"
"508","59","3","1.808"
"509","64","4","2.02"
"510","55","4","1.735"
"511","79","5","4.546"
"512","57","3","1.508"
"513","58",NA,"1.68"
"514","56","3","1.35"
"515","55","4","1.56"
"516","53","5","1.3"
"517","40",NA,".442"
"518","42","3",".605"
"519","53","4","1.076"
"520","55","4","1.241"
"521","43","3",".597"
"522","23","1",".084"
"523","24","1",".096"
"524","20","0",".056"
"525","19","0",".047"
"526","25",NA,".11"
"527","23","0",".095"
"528","20","0",".053"
"529","25","1",".098"
"530","50",NA,"1"
"531","51","4","1.032"
"532","44","4",".68"
"533","56","4","1.28"
"534","48","4",".904"
"535","60","4","1.69"
"536","47","3",".91"
"537","62","5","2.206"
"538","45","3",".717"
"539","64",NA,"2.09"
"540","47","4",".868"
"541","60",NA,"1.908"
"542","52","4",".957"
"543","59",NA,"1.982"
"544","44","2",".771"
"545","59",NA,"1.928"
"546","56",NA,"1.43"
"547","49",NA,".91"
"548","44","3",".736"
"549","44","3",".6"
"550","55","5","1.202"
"551","35","1",".29"
"552","33","1",".327"
"553","22","0",".075"
"554","35",NA,".276"
"555","33","1",".258"
"556","24","1",".093"
"557","50","5",".883"
"558","49","4",".877"
"559","59","4","1.252"
"560","51",NA,"1.046"
"561","73","7","3.788"
"562","60","4","1.624"
"563","68","5","2.842"
"564","73","6","3.218"
"565","22","0",".062"
"566","21","0",".056"
"567","20","0",".049"
"568","60","3","1.73"
"569","63","4","2.009"
"570","45","3",".769"
"571","48","3","1.025"
"572","58","3","1.613"
"573","48","2",".837"
"574","51","3","1.398"
"575","48","4","1.112"
"576","59","4","1.954"
"577","51","4","1.102"
"578","47","3","1.029"
"579","45","2",".857"
"580","46","2",".804"
"581","40","2",".461"
"582","64","4","2.118"
"583","50","4","1.091"
"584","42","3",".483"
"585","60",NA,"2.14"
"586","51","4","1.187"
"587","60","4","1.896"
"588","65",NA,"2.583"
"589","76","6","4.37"
"590","61","4","1.901"
"591","47","3","1.05"
"592","50","3","1.16"
"593","58","3","1.85"
"594","62","5","2.3"
"595","67","6","2.705"
"596","71","6","3.168"
"597","86","7","6.06"
"598","85","7","5.59"
"599","56","5","1.848"
"600","55","5","1.607"
"601","59","5","2.069"
"602","48","4","1.038"
"603","47","4",".965"
"604","46","4",".874"
"605","50",NA,"1.241"
"606","69","5","2.993"
"607","45","4",".637"
"608","53","4","1.237"
"609","45","4",".755"
"610","43","4",".606"
"611","50","4",".927"
"612","45","2",".755"
"613","47","3","1.021"
"614","43","2",".711"
"615","54","5","1.16"
"616","53",NA,"0"
"617","50","4",".907"
"618","99","8","8.97"
"619","61","4","1.842"
"620","47","4",".854"
"621","49",NA,"1.028"
"622","57","5","1.45"
"623","60","5","1.686"
"624","46","4",".648"
"625","47","4",".944"
"626","37",NA,".388"
"627","40","3",".454"
"628","55","3","1.476"
"629","57",NA,"1.624"
"630","40","2",".505"
"631","49","3","1.182"
"632","55",NA,"1.462"
"633","4",NA,".001"
"634","41",NA,".582"
"635","35",NA,".312"
"636","47",NA,".892"
"637","52",NA,"1.192"
"638","39",NA,".417"
"639","50",NA,"1.138"
"640","33",NA,".303"
"641","37",NA,".377"
"642","69",NA,"3.148"
"643","26","1",".098"
"644","32","2",".188"
"645","54","4","1.058"
"646","48",NA,".781"
"647","33","2",".234"
"648","66",NA,"2.278"
"649","78","6","5.124"
"650","70","4","3.096"
"651","56","5","1.43"
"652","57","4","1.431"
"653","70","4","3.016"
"654","62",NA,"1.756"
"655","49","3",".953"
"656","44","3",".646"
"657","70","5","3.004"
"658","66","5","2.094"
"659","93","8","8.22"
"660","105","8","14.12"
"661","103","12","12.22"
"662","72","5","3.032"
"663","63","4","1.816"
"664","69","4","2.797"
"665","37",NA,".286"
"666","52",NA,".904"
"667","68","4","2.399"
"668","59","4","1.632"
"669","64","4","1.903"
"670","51","3",".994"
"671","39","2",".343"
"672","34","2",".214"
"673","91","7","7.41"
"674","37","2",".326"
"675","18","1",".026"
"676","15",NA,".016"
"677","14",NA,".011"
"678","13",NA,".012"
"679","25","1",".088"
"680","19","1",".033"
"681","20","1",".042"
"682","18","1",".03"
"683","31","1",".21"
"684","33",NA,".224"
"685","45","4",".663"
"686","61","5","2.034"
"687","45","2",".736"
"688","33","2",".24"
"689","50","3","1.03"
"690","45","3",".766"
"691","36","2",".29"
"692","47","3",".877"
"693","26","1",".125"
"694","30","2",".164"
"695","26","1",".11"
"696","23","1",".074"
"697","27","1",".11"
"698","62","4","1.509"
"699","66","4","1.985"
"700","71","5","2.5"
"701","43","3",".476"
"702","33","3",".218"
"703","31",NA,".144"
"704","65","4","1.971"
"705","67","4","2.148"
"706","35","2",".247"
"707","44","3",".517"
"708","39","2",".382"
"709","64","4","1.659"
"710","61","4","1.522"
"711","50","3",".881"
"712","55","4","1.1"
"713","47","3",".642"
"714","32","2",".214"
"715","68","4","2.213"
"716","53","4","1.026"
"717","53","4",".946"
"718","67","5","2.016"
"719","53",NA,"1.048"
"720","67","5","2.244"
"721","68","5","1.922"
"722","38","3",".374"
"723","57","4","1.47"
"724","45","3",".659"
"725","44","3",".53"
"726","40",NA,".462"
"727","30","2",".148"
"728","31","2",".19"
"729","43","3",".529"
